Set,Nm,Fac,Fac Nm,Name,Type,SubType,Cst,Atk,Life,Sh,Abilities1,Abilities2
,,,,,,,,,,,,
C3,1,Chaos,1,Magical Boon,Demons,,,,,,"Use at any time. Look into your command deck, and draw a Daemonica Command Asset card that is a psychic power or a Deny the Witch card. Add that card to your hand, then shuffle the deck.",
C3,2,Chaos,2,Warp Surge,Demons,,,,,,"Use when resolving damage to a Daemonica unit before saving throws are amde. Until the end of the phase, roll D12s for the saving throws, regardless of the blast marker size.",
C3,3,Chaos,3,Denizens of the Warp,Demons,,,,,,"Use in the Reinforcement Step. Select a Daemonica Warlord, and Daemonica unit that has been destroyed. Roll a D12 and add 4. If it exceeds the Power rating of the destroyed unit, return it anywhere more than 9” from enemy units, as part of the Warlord's detachment. Otherwise return this card to your hand and you can't use it this turn.",
C3,4,Chaos,4,Demonic Possession,Demons,,,,,,"Use when your opponent uses a psychic power, if at least one Daemonica unit is on the field. Roll a D12. If the result is greater than the leadership of the unit manifesting the power, place a damage marker next to it. If that destroys the unit, Roll a D12. On a 7+, replace that unit with a daemonica character less than the roll number as a new detachment.",
C3,5,Chaos,5,Locus of Rage,Khorne Demons,,,,,,"Select a detachment led by a Daemonica Khorne Commander. The detachment's order is replaced with 'Assault', and roll D12s instead of D6s for hit rolls for attacks made by melee weapons for daemonica Khorne units for that phase.",
C3,6,Chaos,6,Locus of Trickery,Tzeentch Demons,,,,,,"Use in the action phase. Select a detachment led by a Daemonica Tzeentch Commander. Until the end of the phase, Daemonica Tzeentch units in that detachment are obscured targets.",
C3,7,Chaos,7,Locus of Virulence,Nurgle Demons,,,,,,"Use in the action phase. Select a detachment led by a Daemonica Nurgle Commander. Until the end of the phase, you can re-roll wound rolls for attacks made by Daemonica Nurgle units.",
C3,8,Chaos,8,Locus of Swiftness,Slannesh Demons,,,,,,"Select a detachment led by a Daemonica Slaanesh Commander. The detachment's order is replaced with 'Assault', and Daemonica Slaanesh units in the detachment triple their move characteristic instead of doubling it, but cannot end in base contact with enemy units.",
C3,9,Chaos,9,Wrath of Khorne,Khorne Demons,,,,,,"Use when an opponent uses a psychic power, before the effects are resolved, if you have a Khorne unit on the battlefield. Roll a D12 for the manifesting unit and every unit within 3” of it. On an 8+, place 2 blast markers next to the unit.",
C3,10,Chaos,10,Cacophonic Choir,Slannesh Demons,Psychic,,,,,"Use in action phase. Choose one Daemonica Slaanesh Psyker unit and one enemy unit within 24” of the psyker. Roll a D12. If the result is less than the enemy's unit's Leadership, place 1 blast marker next to it. If it is equal or greater, place 2 blast markers next to it.",
C3,11,Chaos,11,Stream of Corruption,Nurgle Demons,Psychic,,,,,"Use in the action Phase. Choose one Daemonica Nurgle Psyker unit and an enemy unit within 12” of the psyker. Roll a D12. On a 4-7, place 2 blast markers next to it. On an 8-10, place 3 blast markers, and on an 11+, place 4 blast markers.",
C3,12,Chaos,12,Infernal Gateway,Tzeentch Demons,Psychic,,,,,"Use in action phase. Select a Daemonica Tzeentch Psyker and one point on the battlefield within 24” of the Psyker.  Roll a D12 for each unit within 6” of that point, subtracting 1 if it is a light Character. On a 6+, place a blast marker next to it.",
C3,13,Chaos,13,Gaze of Fate,Tzeentch Demons,Psychic,,,,,"Use at end of Orders Phase. Select a Tzeentch Psyker. Roll a D12. On a 2+, Choose an opponent to Look at their Command Asset Cards, then draw a Command Card.",
C3,14,Chaos,14,Aura of Acquiescence,Slannesh Demons,,,,,,"Use in Action Phase. Select a Daemonica Slaanesh unit. Until the end of the phase, the Attacks characteristic in base contact with it is halved.",
C3,15,Chaos,15,Frenetic Bloodlust,Khorne Demons,,,,,,Use in Action Phase. Select a Daemonica Khorne unit. That unit makes 2 free fight actions back-to-back.,
C3,16,Chaos,16,Revolting Regeneration,Nurgle Demons,,,,,,Use in Action Phase. Select a Daemonica Nurgle detachment. Remove up to D3 damage markers from that unit.,
C3,17,Chaos,17,Gift of Chaos,Chaos,Psychic,,,,,"Use in the action phase. Pick the closest non-character light unit of 5 within 18” to a psyker.  Roll a d12. On a 1-9, place a blast marker on that unit. On a 10+, place 2 blast markers on that unit, and place a chaos spawn next to it. The Spawn is part of the Psyker's detachment.",
C3,18,Chaos,18,Bolt of Change,Tzeentch,Psychic,,,,,"Use in the action phase. Pick a Tzeentch Psyker to manifest, then select a light character within 18” and roll 2d6. If it is less than the character's power rating, place a blast marker next to it. Otherwise, immediately destroy it and replace it with a chaos spawn unit, as part of the Psyker's detachment.",
C3,19,Chaos,19,Fury of Khorne,Khorne,,,,,,Choose a Khorne character. Add +2 to its attacks and damage rolls  for this character this turn.,
C3,20,Chaos,20,Delightful Agonies,Slannesh,Psychic,,,,,"Use in the action phase. Choose a Slaanesh Psyker and one slaanesh unit with 36” of each other. Until the end of the turn, that unit ignores penalties for critical damage, and add 1 to attacks for each damage marker next to it.",
C3,21,Chaos,21,Plague Wind,Nurgle,Psychic,,,,,"Use in the action phase. Choose a Nurgle Psyker and roll a D12. On a 2+, place a blast marker next to the closest enemy within 18” to the psyker. Then roll a D12” for every other unit within 6” of that unit. On a 7+, place a blast marker nexto that unit.",
C3,22,Tau,1,Markerlights,Tau,,,,,,Use in the action phase. Select 1 enemy detachment. Reroll to-hit rolls of 1 from ranged weapons by Tau units against the units in that detachment.,
C3,23,Tau,2,Saviour Protocols,Tau,,,,,,"Use at the start of the damage phase. One Tau unit within 6” of a friendly T'au Empire Drones unit, they may remove up to D3 blast markers from that unit and place it on the Drones instead.",
C3,24,Tau,3,Kauyon,Tau,,,,,,"Use when your oponnent selects one of their detachments to carry out an order. One of your detachments led by a Tau Commander that has not carried out their order replaces their order with Aimed Fire, and then carries out that order before the enemy detachment.",
C3,25,Tau,4,Coordinated Fire Arcs,Tau,Tau Sept,,,,,"Use in the Action phase. Select 1 detachment led by a a Tau Sept Commander. Until the end of the phase, when an enemy unit moves in base contact of a Tau Sept in that detachment, that Tau Sept unit may make a free shoot action, targeting the enemy that moved into base contact, as if they were not in base contact.",
C3,26,Tau,5,Focus Fire,Tau,Tau Sept,,,,,Use in the Action phase. Select an enemy unit and a Tau detachment. Reroll wound rolls for attacks by ranged weapons by Tau Sept units in that detachment that target that unit until the end of this turn.,
C3,27,Tau,6,Mont'ka,Tau,,,,,,"Use when your opponent selects 1 detachment to carry out an order. One detachment lead by a Tau Commander that hasn't carried out its order replaced their order with Advance, and carries out its order before your opponent does so.",
C3,28,Tau,7,Seeker Missiles,Tau,Vehicles,,,,,"Use when a Tau Vehicle makes a shoot action. Select an enemy visible to that vehicle and roll a d6. On e a 2+, place a blast marker next to that unit. If the enemy was a Heavy or Super-Heavy, place 2 blast markers instead.",
